JoinField,UNIQUE_ID,COUNTYFP,Parish,Precinct,G24PREDHAR,G24PRERTRU,G24PRETOT,G24A1NO,G24A1YES,G24PRELOLI,G24PREOCRU,G24PREOFRU,G24PREOKEN,G24PREOPRE,G24PREOSON,G24PREOSTE,G24PREOTER,G24PREOWES,GCON01DMAN,GCON01NHYE,GCON01RARR,GCON01RSCA,GCON01RSHA,GCON02DCAR,GCON02DDAV,GCON02RGRA,GCON02RLYN,GCON02RPER,GCON03DGON,GCON03DSUM,GCON03RHIG,GCON03RJOH,GCON04RJOH,GCON04RMOR,GCON05DVAL,GCON05RLET,GCON05RMEN,GCON06DAND,GCON06DFIE,GCON06DJON,GCON06DWIL,GCON06RGUI
001;2-4,Acadia-2-4,001,Acadia,02 04,3,100,103,13,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,97,2,0,0,0,0,0,0,0,0,0,0
001;2-5,Acadia-2-5,001,Acadia,02 05,34,421,465,102,344,3,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,415,13,0,0,0,0,0,0,0,0,0,0
001;3-1,Acadia-3-1,001,Acadia,03 01,141,268,410,137,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,24,242,8,0,0,0,0,0,0,0,0,0,0
001;3-2,Acadia-3-2,001,Acadia,03 02,31,731,767,230,498,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,654,16,0,0,0,0,0,0,0,0,0,0
001;3-3,Acadia-3-3,001,Acadia,03 03,282,1028,1320,357,833,3,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,191,54,893,46,0,0,0,0,0,0,0,0,0,0
001;3-4,Acadia-3-4,001,Acadia,03 04,392,373,771,253,464,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,203,100,336,16,0,0,0,0,0,0,0,0,0,0
001;3-5,Acadia-3-5,001,Acadia,03 05,95,607,703,221,425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,11,546,19,0,0,0,0,0,0,0,0,0,0
001;3-7,Acadia-3-7,001,Acadia,03 07,66,763,836,244,520,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,48,11,682,22,0,0,0,0,0,0,0,0,0,0
001;4-1,Acadia-4-1,001,Acadia,04 01,25,586,613,175,414,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,559,24,0,0,0,0,0,0,0,0,0,0
001;4-2,Acadia-4-2,001,Acadia,04 02,80,543,628,162,432,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,45,17,536,14,0,0,0,0,0,0,0,0,0,0
001;4-3,Acadia-4-3,001,Acadia,04 03,0,79,85,29,50,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,73,3,0,0,0,0,0,0,0,0,0,0
001;4-4,Acadia-4-4,001,Acadia,04 04,50,1058,1113,283,776,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,9,1042,24,0,0,0,0,0,0,0,0,0,0
001;4-5,Acadia-4-5,001,Acadia,04 05,21,688,711,179,512,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,682,8,0,0,0,0,0,0,0,0,0,0
001;4-6,Acadia-4-6,001,Acadia,04 06,41,577,625,143,460,3,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,28,8,568,16,0,0,0,0,0,0,0,0,0,0
001;5-1,Acadia-5-1,001,Acadia,05 01,50,262,312,81,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,255,8,0,0,0,0,0,0,0,0,0,0
001;5-2,Acadia-5-2,001,Acadia,05 02,44,254,304,89,204,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,2,255,5,0,0,0,0,0,0,0,0,0,0
001;5-3,Acadia-5-3,001,Acadia,05 03,31,599,638,173,412,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,596,9,0,0,0,0,0,0,0,0,0,0
001;5-4,Acadia-5-4,001,Acadia,05 04,21,361,385,119,212,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,350,13,0,0,0,0,0,0,0,0,0,0
001;5-5,Acadia-5-5,001,Acadia,05 05,25,180,206,59,131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,2,173,2,0,0,0,0,0,0,0,0,0,0
001;6-1,Acadia-6-1,001,Acadia,06 01,312,114,429,131,222,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,186,57,123,8,0,0,0,0,0,0,0,0,0,0
001;6-10,Acadia-6-10,001,Acadia,06 10,16,245,262,60,204,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,3,237,6,0,0,0,0,0,0,0,0,0,0
001;6-12,Acadia-6-12,001,Acadia,06 12,101,416,522,150,356,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,11,420,27,0,0,0,0,0,0,0,0,0,0
001;6-13,Acadia-6-13,001,Acadia,06 13,15,187,202,44,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,178,11,0,0,0,0,0,0,0,0,0,0
001;6-14,Acadia-6-14,001,Acadia,06 14,41,448,491,134,343,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,17,434,19,0,0,0,0,0,0,0,0,0,0
001;6-15,Acadia-6-15,001,Acadia,06 15,9,162,172,44,119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,155,8,0,0,0,0,0,0,0,0,0,0
001;6-16,Acadia-6-16,001,Acadia,06 16,19,253,274,78,176,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22,1,234,17,0,0,0,0,0,0,0,0,0,0
001;6-2,Acadia-6-2,001,Acadia,06 02,34,121,159,42,101,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,111,11,0,0,0,0,0,0,0,0,0,0
001;6-3,Acadia-6-3,001,Acadia,06 03,153,176,335,96,215,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,89,30,155,27,0,0,0,0,0,0,0,0,0,0
001;6-4,Acadia-6-4,001,Acadia,06 04,183,295,480,149,313,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,109,38,283,25,0,0,0,0,0,0,0,0,0,0
001;6-5,Acadia-6-5,001,Acadia,06 05,72,159,233,45,176,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,16,152,13,0,0,0,0,0,0,0,0,0,0
001;6-6,Acadia-6-6,001,Acadia,06 06,405,18,426,171,214,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,52,36,3,0,0,0,0,0,0,0,0,0,0
001;6-7,Acadia-6-7,001,Acadia,06 07,51,424,479,173,283,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,13,412,14,0,0,0,0,0,0,0,0,0,0
001;6-8,Acadia-6-8,001,Acadia,06 08,87,332,422,92,298,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,11,329,8,0,0,0,0,0,0,0,0,0,0
001;7-2,Acadia-7-2,001,Acadia,07 02,65,596,661,143,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,24,585,13,0,0,0,0,0,0,0,0,0,0
001;7-3,Acadia-7-3,001,Acadia,07 03,51,950,1006,238,730,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,23,13,927,30,0,0,0,0,0,0,0,0,0,0
001;7-4,Acadia-7-4,001,Acadia,07 04,31,651,686,164,490,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,622,27,0,0,0,0,0,0,0,0,0,0
003;1-1,Allen-1-1,003,Allen,01 01,195,195,397,129,222,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,55,0,0,0,0,0,0,0,0
003;1-2,Allen-1-2,003,Allen,01 02,35,124,159,51,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,15,0,0,0,0,0,0,0,0
003;1-3,Allen-1-3,003,Allen,01 03,48,104,153,43,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,30,0,0,0,0,0,0,0,0
003;1-6,Allen-1-6,003,Allen,01 06,45,175,221,75,127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,15,0,0,0,0,0,0,0,0
003;2-1,Allen-2-1,003,Allen,02 01,72,192,271,74,172,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,32,0,0,0,0,0,0,0,0
003;2-2,Allen-2-2,003,Allen,02 02,99,561,667,223,429,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,64,0,0,0,0,0,0,0,0
003;2-3,Allen-2-3,003,Allen,02 03,14,386,400,132,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,27,0,0,0,0,0,0,0,0
003;2-5,Allen-2-5,003,Allen,02 05,289,613,919,287,567,4,0,1,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,119,0,0,0,0,0,0,0,0
003;2-6,Allen-2-6,003,Allen,02 06,22,270,293,84,195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,27,0,0,0,0,0,0,0,0
003;3-1,Allen-3-1,003,Allen,03 01,22,366,388,113,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,37,0,0,0,0,0,0,0,0
003;3-2,Allen-3-2,003,Allen,03 02,74,792,877,314,537,3,0,0,2,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,67,0,0,0,0,0,0,0,0
003;4-2,Allen-4-2,003,Allen,04 02,5,426,433,189,193,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,19,0,0,0,0,0,0,0,0
003;4-3,Allen-4-3,003,Allen,04 03,29,373,405,165,220,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,40,0,0,0,0,0,0,0,0
003;5-2,Allen-5-2,003,Allen,05 02,26,538,567,180,358,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,22,0,0,0,0,0,0,0,0
003;5-3,Allen-5-3,003,Allen,05 03,75,809,897,315,481,0,0,0,2,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,62,0,0,0,0,0,0,0,0
003;5-4,Allen-5-4,003,Allen,05 04,75,602,680,228,397,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,62,0,0,0,0,0,0,0,0
003;5-5,Allen-5-5,003,Allen,05 05,3,216,219,81,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,7,0,0,0,0,0,0,0,0
003;5-7,Allen-5-7,003,Allen,05 07,533,261,805,272,399,1,0,1,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,200,0,0,0,0,0,0,0,0
005;1,Ascension-0-1,005,Ascension,00 01,232,684,950,189,729,10,0,0,2,6,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,705,177,0,0,0,0,0
005;10,Ascension-0-10,005,Ascension,00 10,114,482,600,128,425,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,419,157,0,0,0,0,0
005;11,Ascension-0-11,005,Ascension,00 11,647,743,1405,400,824,3,0,1,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,200,112,419,157,0,0,0,0,0
005;12,Ascension-0-12,005,Ascension,00 12,238,1065,1322,307,970,3,0,0,12,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,916,367,0,0,0,0,0
005;13,Ascension-0-13,005,Ascension,00 13,343,1123,1494,350,1091,7,0,0,10,2,4,3,0,2,251,17,200,676,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;14,Ascension-0-14,005,Ascension,00 14,129,960,1102,229,813,3,0,0,8,0,0,2,0,0,82,14,118,622,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;15,Ascension-0-15,005,Ascension,00 15,131,1122,1270,287,924,7,0,0,2,2,0,6,0,0,100,18,127,738,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;16,Ascension-0-16,005,Ascension,00 16,329,742,1093,193,871,9,0,0,4,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,745,193,0,0,0,0,0
005;17,Ascension-0-17,005,Ascension,00 17,674,821,1522,379,1100,8,2,0,6,0,2,7,0,2,0,0,0,0,0,524,136,377,364,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;18,Ascension-0-18,005,Ascension,00 18,263,995,1290,235,1013,7,1,0,10,5,4,3,0,2,180,26,143,625,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;19,Ascension-0-19,005,Ascension,00 19,256,526,792,195,555,3,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,474,175,0,0,0,0,0
005;2,Ascension-0-2,005,Ascension,00 02,183,675,878,191,661,2,0,0,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,624,210,0,0,0,0,0
005;20,Ascension-0-20,005,Ascension,00 20,249,693,957,206,724,0,0,0,10,0,0,3,0,2,0,0,0,0,0,196,53,326,307,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;21,Ascension-0-21,005,Ascension,00 21,91,457,555,141,391,0,1,0,2,0,0,4,0,0,72,8,75,259,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;22,Ascension-0-22,005,Ascension,00 22,69,698,781,161,557,2,0,0,4,5,0,3,0,0,46,14,89,438,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;23,Ascension-0-23,005,Ascension,00 23,196,357,559,139,360,0,0,0,0,2,0,0,2,2,0,0,0,0,0,169,23,179,151,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;24,Ascension-0-24,005,Ascension,00 24,73,283,360,81,270,0,0,0,0,0,0,4,0,0,0,0,0,0,0,55,26,151,92,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;25,Ascension-0-25,005,Ascension,00 25,140,853,1006,173,801,3,0,0,6,0,2,0,0,2,92,8,103,557,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;26,Ascension-0-26,005,Ascension,00 26,260,1828,2117,505,1513,17,0,0,4,2,0,6,0,0,190,24,262,1154,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;27,Ascension-0-27,005,Ascension,00 27,80,510,603,130,434,7,0,0,0,2,2,2,0,0,58,8,59,345,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;28,Ascension-0-28,005,Ascension,00 28,358,285,653,168,432,3,0,0,2,0,2,0,3,0,0,0,0,0,0,317,64,126,108,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;3,Ascension-0-3,005,Ascension,00 03,252,860,1143,200,922,7,0,2,6,5,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,821,284,0,0,0,0,0
005;30,Ascension-0-30,005,Ascension,00 30,365,197,572,155,338,2,1,2,0,2,0,3,0,0,0,0,0,0,0,280,64,72,105,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;31,Ascension-0-31,005,Ascension,00 31,412,392,812,173,536,2,0,0,0,0,4,2,0,0,0,0,0,0,0,356,62,165,182,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;32,Ascension-0-32,005,Ascension,00 32,356,373,750,186,497,0,1,1,8,7,2,0,2,0,0,0,0,0,0,306,43,156,200,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;33,Ascension-0-33,005,Ascension,00 33,171,1127,1318,289,982,7,0,1,4,5,0,3,0,0,116,28,151,701,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;34,Ascension-0-34,005,Ascension,00 34,269,830,1109,224,760,2,0,1,2,2,0,1,0,2,181,18,121,493,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;35,Ascension-0-35,005,Ascension,00 35,111,1139,1257,204,989,0,0,0,2,2,0,3,0,0,62,24,127,752,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;36,Ascension-0-36,005,Ascension,00 36,708,429,1153,240,787,3,0,0,4,0,2,3,2,2,0,0,0,0,0,618,76,181,169,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;37,Ascension-0-37,005,Ascension,00 37,1100,394,1530,390,1045,5,0,0,10,5,2,4,3,7,0,0,0,0,0,974,134,209,136,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;38,Ascension-0-38,005,Ascension,00 38,443,128,577,148,369,0,0,0,0,0,0,3,0,3,0,0,0,0,0,379,49,53,56,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;39,Ascension-0-39,005,Ascension,00 39,180,200,382,96,270,2,0,0,0,0,0,0,0,0,0,0,0,0,0,173,8,65,108,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;4,Ascension-0-4,005,Ascension,00 04,374,830,1217,278,912,7,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,705,312,0,0,0,0,0
005;40,Ascension-0-40,005,Ascension,00 40,572,765,1374,305,999,7,3,0,8,2,2,3,3,9,0,0,0,0,0,483,87,363,320,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;41,Ascension-0-41,005,Ascension,00 41,109,742,856,204,613,5,0,0,0,0,0,0,0,0,70,11,102,489,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;42,Ascension-0-42,005,Ascension,00 42,232,197,434,103,285,2,1,0,0,0,0,0,2,0,0,0,0,0,0,205,28,72,82,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;43,Ascension-0-43,005,Ascension,00 43,109,798,927,177,632,5,0,0,4,2,0,7,2,0,82,11,107,518,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;44,Ascension-0-44,005,Ascension,00 44,614,225,850,242,540,2,1,0,4,0,0,1,0,3,0,0,0,0,0,524,55,65,110,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;45,Ascension-0-45,005,Ascension,00 45,211,35,252,76,164,0,1,0,0,2,0,1,2,0,0,0,0,0,0,196,15,14,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;47,Ascension-0-47,005,Ascension,00 47,841,86,947,242,574,5,5,0,2,0,2,4,2,0,0,0,0,0,0,693,70,33,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;48,Ascension-0-48,005,Ascension,00 48,136,239,386,67,294,2,0,0,6,0,0,3,0,0,0,0,0,0,0,160,8,81,118,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;5,Ascension-0-5,005,Ascension,00 05,334,1025,1371,287,1042,2,0,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,881,347,0,0,0,0,0
005;50,Ascension-0-50,005,Ascension,00 50,296,190,495,92,350,2,0,0,0,0,2,3,2,0,0,0,0,0,0,255,25,53,108,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;51,Ascension-0-51,005,Ascension,00 51,541,42,607,179,374,3,3,0,4,2,0,6,3,3,0,0,0,0,0,470,47,16,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;52,Ascension-0-52,005,Ascension,00 52,129,176,308,72,227,0,0,0,0,0,2,1,0,0,0,0,0,0,0,146,15,51,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;53,Ascension-0-53,005,Ascension,00 53,191,309,505,117,285,0,0,0,0,5,0,0,0,0,0,0,0,0,0,207,19,79,136,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;54,Ascension-0-54,005,Ascension,00 54,369,200,574,159,367,0,0,0,2,0,0,3,0,0,0,0,0,0,0,376,32,63,79,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;55,Ascension-0-55,005,Ascension,00 55,412,65,483,119,299,0,0,0,2,0,2,0,0,2,0,0,0,0,0,369,30,16,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;57,Ascension-0-57,005,Ascension,00 57,278,16,298,67,193,0,1,0,2,0,0,1,0,0,0,0,0,0,0,246,25,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;58,Ascension-0-58,005,Ascension,00 58,301,510,827,161,524,2,0,0,4,2,0,3,2,3,0,0,0,0,0,242,74,226,210,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;6,Ascension-0-6,005,Ascension,00 06,416,1041,1486,357,1076,5,2,0,6,3,5,4,0,4,0,0,0,0,0,358,70,479,454,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;61,Ascension-0-61,005,Ascension,00 61,142,629,784,150,594,5,1,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,569,193,0,0,0,0,0
005;62,Ascension-0-62,005,Ascension,00 62,122,471,602,139,432,2,0,0,4,0,0,1,2,0,0,0,0,0,0,116,23,246,169,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;63,Ascension-0-63,005,Ascension,00 63,347,877,1245,260,943,5,0,0,4,0,4,6,2,0,0,0,0,0,0,296,76,402,420,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;64,Ascension-0-64,005,Ascension,00 64,187,501,704,152,536,5,0,0,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,511,152,0,0,0,0,0
005;65,Ascension-0-65,005,Ascension,00 65,267,380,650,157,454,0,0,1,0,0,2,0,0,0,0,0,0,0,0,205,40,172,179,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;66,Ascension-0-66,005,Ascension,00 66,254,677,943,220,693,2,0,0,0,5,0,1,2,2,0,0,0,0,0,228,40,251,364,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;68,Ascension-0-68,005,Ascension,00 68,174,610,804,161,635,8,0,0,11,0,0,1,0,0,0,0,0,0,0,128,43,302,282,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;69,Ascension-0-69,005,Ascension,00 69,100,735,849,170,639,2,0,0,8,2,0,0,2,0,58,11,84,505,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;7,Ascension-0-7,005,Ascension,00 07,343,584,953,188,738,5,0,0,4,0,13,4,0,0,0,0,0,0,0,237,87,286,269,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;71,Ascension-0-71,005,Ascension,00 71,643,1122,1809,415,1346,7,7,1,15,2,3,9,0,0,0,0,0,0,0,518,127,549,494,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;72,Ascension-0-72,005,Ascension,00 72,292,629,923,204,659,0,0,0,0,0,2,0,0,0,0,0,0,0,0,233,59,263,272,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;73,Ascension-0-73,005,Ascension,00 73,45,253,306,81,205,2,0,0,4,0,0,0,2,0,0,0,0,0,0,46,8,107,118,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;76,Ascension-0-76,005,Ascension,00 76,323,1127,1468,312,1081,8,0,0,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,974,380,0,0,0,0,0
005;77,Ascension-0-77,005,Ascension,00 77,296,707,1010,220,738,0,1,0,0,0,0,6,0,0,0,0,0,0,0,214,64,328,307,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005;78,Ascension-0-78,005,Ascension,00 78,200,707,935,226,666,5,0,0,8,2,7,6,0,0,0,0,0,0,0,196,32,321,310,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
